"Source","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID"
"Awoken Mastery","Weapon Waltz","PHY","Single enemy","Physical","5.60","Holy, Ice, Fire, NE","0.01","4/6/8 single attacks (0.70 each) if the user's HP is greater than or equal to 0/34/67%, 100% hit rate","Y","Lowest HP% enemy","0","Samurai","31540918"
"Enhanced Mastery Mode","Straightarrow","PHY","Single enemy","Physical","1.90","Holy, Ice, Fire, NE","0.01","Five single ranged attacks (0.38 each)","Y","Lowest HP% enemy","0","Samurai","31540925"
"Stout Archer Mode","Mash VIII","BLK","Single enemy","Magical","8.16","Earth, NE","0.01","Four single attacks (2.04 each)","Y","Lowest HP% enemy","0","Black Magic","31541000"
"Aqua Venom Follow-Up","Aqua Venom","PHY","Single enemy","Physical","1.28","Water, Poison, NE","0.01","Four single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Thief","31541115"
"Stalwart Survivor Mode","Boost Morale","NAT","All allies","","","","0.01","Grants [Last Stand], grants [Buff Ice 50% (5s)] to the user, removes Stalwart Survivor Mode from the user","N","All allies","0","Monk","31541135"
"Colossal Fist Follow-Up","Colossal Fist","PHY","Single enemy","Physical","1.00","Earth, NE","0.01","One single attack (1.00), 100% hit rate, 100% additional critical chance, grants [Damage Cap +10000 1] to the user after every third use","Y","Lowest HP% enemy","0","Monk","31541295"
"Dual Awoken Imperial Mode II (Emperor)","Dual Martial Might","NAT","Single enemy","","","","0.01","Causes [ATK and MAG -50% (8s)]/[DEF and RES -50% (8s)] every 1+2n/2+2n casts, grants [Quick Cast 1] to all allies","N","Lowest HP% enemy","0","Black Magic","31541532"
"Dual Blessing of Gaia Mode","Dual Rock Impact","PHY","Single enemy","Physical","6.40","Earth, NE","0.01","One single attack (6.40) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31541534"
"Troubled Heart Mode","Fiery Assault","PHY","Single enemy","Physical","3.36","Fire, NE","0.01","One single attack (1.76/3.36) capped at 99999 if 0-3/4+ FF2 allies are alive, 0%/100% additional critical chance if 0-3/4+ FF2 allies are alive, grants [Quick Cast 1] to the user if 4+ FF2 allies are alive","Y","Lowest HP% enemy","0","Spellblade","31541539"
"Dual Awoken Earth Mode II (Maria)","Dual Shattering Meteor","BLK","Single enemy","Magical","8.46","Earth, NE","0.01","One single attack (8.46) capped at 99999, grants [Buff Earth 10% (15s)] to the user","Y","Lowest HP% enemy","0","Black Magic","31541598"
"Sisterly Spirit Mode","Scourge Splash (Water)","NAT","Self","","","","0.01","Grants [Instant Cast 1], [Soul Break Gauge +250], removes Sisterly Spirit Mode from the user","N","Self","0","Special","31541733"
"Sisterly Spirit Mode","Scourge Splash (Poison)","NAT","Single enemy","","","","0.01","Causes [Imperil Poison 10% (15s)], grants [Buff Poison 10% (15s)] to all allies, grants [Attach Poison] to the user, removes Sisterly Spirit Mode from the user","N","Lowest HP% enemy","0","Special","31541734"
"Chain Force Mode (Josef - Ice)","Ice Guidance: Josef","PHY","Single enemy","Physical","0.96","Ice, NE","0.01","Three single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","31541952"
"Chain Force Mode (Maria)","Kindred Guidance: Maria","BLK","Single enemy","Magical","8.20","Earth, NE","0.01","One single attack (7.80/8.20) capped at 99999 scaling with uses, grants [Earth Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","31541954"
"Dual Awoken Sovereign Mode I (Gordon)","Dual Sorrow of a Nation","NAT","Single enemy","Hybrid","-","Fire, Earth, Ice, NE","0.01","Four single ranged hybrid attacks (0.48 or 1.98 each), causes [ATK and DEF -50% (15s)]/[MAG and RES -50% (15s)]/[ATK, DEF, MAG and RES -50% (15s)] after 1+3n/2+3n/3+3n uses","Y","Lowest HP% enemy","0","Support","31542238"
"Dual Awoken Brilliance Mode I (Hilda)","Dual Prepared Princess","NAT","All allies","","","","0.01","Grants [HP Stock (500)]/[HP Stock (1000)]/[HP Stock (1500)]/[HP Stock (2000)]/[HP Stock (3000)] at rank 1/2/3/4/5 of the triggering ability","N","All allies","0","White Magic","31542241"
"Dual Awoken Brilliance Mode II (Hilda)","Dual Peace Waltz","WHT","All allies","","","","0.01","Restores HP (55), grants [50% Damage Reduction Barrier 1] and [Quick Cast 1]","N","All allies","0","White Magic","31542242"
"Dual Awoken Water Mode II (Leila)","Dual Aqua Gaze","PHY","Single enemy","Physical","2.95","Water, NE","0.01","Five single attacks (0.59 each), 100% hit rate, causes [Imperil Water 20% (5s)], grants [100% Critical (15s)] to the user","Y","Lowest HP% enemy","0","Thief","31542236"
"Dual Awoken Retainer Mode II (Firion)","Dual Frost Sword","PHY","Single enemy","Physical","2.64","Ice, NE","0.01","One single attack (2.64) capped at 99999, 100% hit rate, grants [100% Critical 3] and [Critical Damage +20% 3] to the user","Y","Lowest HP% enemy","0","Samurai","31542232"
"Master of Arms Mode","Ice Blow","PHY","Single enemy","Physical","3.52","Ice, NE","0.01","One single attack (3.52) capped at 99999, 100% hit rate, grants [Weakness +30% Boost 1] and [Instant Cast 1] to all allies","Y","Lowest HP% enemy","0","Samurai","31542228"
"Awoken Kashuan Prince","Relentless Flame Slash","PHY","Single enemy","Physical","4.32","Fire, NE","0.01","Six single attacks (0.72 each), 100% hit rate, grants [Spellblade +30% Boost 1] to all allies every third cast","Y","Lowest HP% enemy","0","Spellblade","31542477"
"Zenith Mode: Vivi (Fire)","Spirit Attack: Vivi (Fire)","NAT","Self","","","","0.01","Grants [Buff Fire 20% (15s)] and [Fire Ability Instant Cast 3] to the user","N","Self","0","Special","31542451"
"Chain Force Mode (Firion)","Fire Guidance: Firion","PHY","Single enemy","Physical","2.05","Fire, NE","0.01","One single attack (1.95/2.05) capped at 99999 scaling with uses, 100% hit rate, grants [Fire Ability Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Samurai","31542456"
"Zenith Mode: Lightning (Lightning)","Spirit Attack: Lightning (Lightning)","NAT","Self","","","","0.01","Grants [100% Critical 5] and [Instant Cast 5] to the user","N","Self","0","Special","31542458"
"Gale Spear Follow-Up","Gale Spear","PHY","Single enemy","Physical","1.92","Wind, NE","0.01","Six single attacks (0.32 each), 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","30548112"
"Dia Splash Follow-Up","Dia Splash","WHT","Single enemy","Magical","9.78","Holy, Water, NE","0.01","2/3/4/5/6 single attacks (1.63 each) at rank 1/2/3/4/5 of the triggering ability","Y","Lowest HP% enemy","0","White Magic","30542054"
"Explosive Rush Mode 1/2/3","Skydance Firestorm","PHY","Single enemy","Physical","1.60","Fire, NE","0.01","4/4/5/6 single attacks (0.40 each) if the user has Explosive Rush Mode 0/1/2/3, 100% hit rate","Y","Lowest HP% enemy","0","Monk","30548129"
"Titan Strike Follow-Up","Titan Strike","PHY","Single enemy","Physical","2.04","Earth, NE","0.01","4/5/6 single attacks (0.34 each) at 798/2736 DEF, 100% hit rate","Y","Lowest HP% enemy","0","Knight","30548143"
"EX: Light's Wisdom","Wind Onion Magic","BLK","Single enemy","Magical","7.95","Wind, NE","0.01","Five single attacks (1.59 each)","Y","Lowest HP% enemy","0","Black Magic","30541091"
"EX: Light's Wisdom","Water Onion Magic","BLK","Single enemy","Magical","7.95","Water, NE","0.01","Five single attacks (1.59 each)","Y","Lowest HP% enemy","0","Black Magic","30541092"
"EX: Light's Wisdom","Fire Onion Magic","BLK","Single enemy","Magical","7.95","Fire, NE","0.01","Five single attacks (1.59 each)","Y","Lowest HP% enemy","0","Black Magic","30541093"
"EX: Light's Wisdom","Earth Onion Magic","BLK","Single enemy","Magical","7.95","Earth, NE","0.01","Five single attacks (1.59 each)","Y","Lowest HP% enemy","0","Black Magic","30541094"
"Lightning Follow-Up","Lightning","BLK","All enemies","Magical","4.40","Dark, Lightning, NE","0.01","One group attack (4.40)","Y","All enemies","0","Black Magic","30520320"
"EX: Esoteric Light","Serpent's Blessing","SUM","Single enemy","Magical","7.95","Water, NE","0.01","Five single attacks (1.59 each), restores HP (25) to all allies","N","Lowest HP% enemy","0","Summoning","30543067"
"Boltstorm Spear Follow-Up","Boltstorm Spear","PHY","Single enemy","Physical","5.20","Lightning, Wind, NE","0.01","One single ranged attack (5.20) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","30548118"
"Onion Sorcery Follow-Up","Onion Sorcery","BLK","Single enemy","Magical","15.65","Wind, Water, Fire, Earth, NE","0.01","One single attack (15.65), capped at 99999","Y","Lowest HP% enemy","0","Black Magic","30541353"
"Gentle Thunder Follow-Up","Gentle Thunder","BLK","Single enemy","Magical","7.92","Lightning, NE","0.01","4/4/4/6 single attacks (1.32 each) if 0-1/2/3/4 female allies are alive, grants [Quick Cast 1] to all allies in the character's row if 2 or more female allies are alive, grants [Buff Lightning 10% (15s)] to all allies if 3 or more female allies are alive","Y","Lowest HP% enemy","0","Black Magic","30541139"
"Sacred Breath Follow-Up","Sacred Breath","WHT","Single enemy","","","","0.01","Causes [Imperil Holy 10% (15s)] and [Imperil Water 10% (15s)]","Y","Lowest HP% enemy","0","White Magic","30543069"
"Blacksmith's Daughter Follow-Up","Fist of Kazus","PHY","Single enemy","Physical","2.01","Fire, NE","0.01","Three single attacks (0.67 each), 0/0/50/50/100% additional critical chance if 0/1/2/3/4+ FF3 allies are alive, grants [Quick Cast 1]/[Quick Cast 1]/[High Quick Cast 1] to the user/allies in the same row/allies in the same row if 0-2/3/4+ FF3 allies are alive, 100% hit rate","Y","Lowest HP% enemy","0","Monk","30544427"
"Awoken Shadow Ninja","Unleashed Power","PHY","Single enemy","Physical","4.14","Wind, Water, Fire, Earth, NE","0.01","Six single attacks (0.69 each), 100% hit rate","Y","Lowest HP% enemy","0","Ninja","30544425"
"Blast Lance Follow-Up","Blast Lance","PHY","Single enemy","Physical","3.46","Wind, NE","0.01","One single ranged attack (3.46) capped at 99999, 0%/100%/100% additional critical chance and 0%/0%/20% additional critical damage if 0/2/3 of Arc, Refia or Ingus are alive, 100% hit rate","Y","Lowest HP% enemy","0","Dragoon","31540289"
"Relentless Blaze Follow-Up","Relentless Blaze","PHY","Single enemy","Physical","5.85","Fire, NE","0.01","5/10/15 single attacks (0.39 each) scaling with uses, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540685"
"Scattering Blast Follow-Up","Scattering Blast","PHY","Single enemy","Physical","2.00","Fire, NE","0.01","Four single attacks (0.50 each), 100% hit rate","Y","Lowest HP% enemy","0","Monk","31540688"
"Fealty Mode","Knight's Espada","PHY","Single enemy","Physical","3.52","Earth, NE","0.01","One single attack (3.52) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Knight","31541030"
"Wind Chosen Mode","Onion Soul: Wind","BLK","Single enemy","Magical","15.82","Wind, NE","0.01","5/10 single attacks (0.95 each) if Onion Soul: Wind has been cast 0-1/2 times, followed by one single attack (6.32) capped at 99999","Y","Lowest HP% enemy","0","Black Magic","31541026"
"Maiden of Water Mode","Maiden's Protection","WHT","Single enemy","Magical","","","0.01","One single attack that deals 99999 damage, grants [HP Stock (2000)] to a random ally","Y","Lowest HP% enemy","0","White Magic","31541220"
"Enfeebling Appendages","Enfeebling Appendages 0","NAT","Self","","","","0.01","Grants [Quick Cast 2]","Y","Self","0","Darkness","31541285"
"Enfeebling Appendages","Enfeebling Appendages 1","BLK","Single enemy","Magical","11.28","Dark, Lightning, NE","0.01","One single attack (11.28) capped at 99999, causes [DEF, RES and MND -70% (8s)], causes Flood of Darkness -1 to the user","Y","Lowest HP% enemy","0","Darkness","31541285"
"Enfeebling Appendages","Enfeebling Appendages 2","BLK","Single enemy","Magical","16.40","Dark, Lightning, NE","0.01","One single attack (16.40) capped at 99999, causes [Imperil Lightning 10% (15s)] and [DEF, RES and MND -70% (8s)], causes Flood of Darkness -2 to the user","Y","Lowest HP% enemy","0","Darkness","31541285"
"Particle Beam Charge Follow-Up","Particle Beam Charge","NAT","Single enemy","","","","0.01","Causes [Imperil Lightning 10% (15s)] and [Imperil Dark 10% (15s)], grants [Dark/Lightning Ability +30% Boost 1] to the user","N","Lowest HP% enemy","0","Darkness","31541289"
"Crystal's Revelation Mode","Tremendous Slash","PHY","Single enemy","Physical","3.54","Wind, Water, Fire, Earth, NE","0.01","One single attack (3.20/3.37/3.54) capped at 99999 if ATK is greater than or equal to 0/1200/1800 ATK, 100% hit rate","Y","Lowest HP% enemy","0","Celerity","31541324"
"Flame Lash Follow-Up","Flame Lash","PHY","Single enemy","Physical","0.32","Fire, NE","0.01","Six single attacks (0.32 each)","Y","Lowest HP% enemy","0","Monk","31520060"
"Chain Force Mode (Ingus)","Guidance of Earth: Ingus","PHY","Single enemy","Physical","2.00","Earth, NE","0.01","One single attack (2.00) capped at 99999, grants [Earth Ability Quick Cast 4] to the user","Y","Lowest HP% enemy","0","Knight","31541970"
"Dual Awoken Altruist Mode I (Arc)","Dual Saintly Splash","NAT","Single enemy","Hybrid","-","Holy, Water, NE","0.01","Three single hybrid attacks (2.89/2.72 each), causes [Imperil Holy 10% (5s)] and [Imperil Water 10% (5s)], causes [DEF, RES and MND -50% (8s)] every second use","Y","Lowest HP% enemy","0","White Magic","31541978"
"Chain Force Mode (Arc)","Kindred Guidance: Arc","NAT","Single enemy","Hybrid","-","Holy, Water, NE","0.01","Four single hybrid attacks (1.38/1.30 each)","Y","Lowest HP% enemy","0","White Magic","31541982"
"Dual Awoken Dark Mode I (Cloud of Darkness)","Dual Particle Blast","BLK","Single enemy","Magical","8.16","Dark, NE","0.01","Four single attacks (2.04 each), grants [Quick Cast 1] to the user every second use","Y","Lowest HP% enemy","0","Darkness","31541976"
"Dual Awoken Black Magic Mode I (Onion Knight (Fire))","Dual Flame Sorcery","BLK","Single enemy","Magical","18.61","Fire, NE","0.01","One single attack (15.25/16.92/18.61) capped at 99999 if the user dealt 0-72000/72001-240000/240001+ damage while under [Dual Awoken Black Magic Mode I (Onion Knight (Fire))]","Y","Lowest HP% enemy","0","Black Magic","31541973"
"Dual Awoken Black Magic Mode II (Onion Knight (Fire))","Dual Fire Magic","BLK","Single enemy","Magical","11.88","Fire, NE","0.01","Six single attacks (1.98 each), grants [Quick Cast 1] to all allies to all allies in the character's row","Y","Lowest HP% enemy","0","Black Magic","31541974"
"Dual Awoken Black Magic Mode II (Onion Knight (Wind))","Dual Wind Sorcery","BLK","Single enemy","Magical","16.92","Wind, NE","0.01","One single attack (16.92) capped at 99999, causes [DEF, RES and MND -70% (8s)], grants [Attach Wind] to all allies with any Attach Wind","Y","Lowest HP% enemy","0","Black Magic","31542331"
"Zenith Mode: Luneth (Wind)","Spirit Attack: Luneth (Wind)","PHY","Single enemy","Physical","3.36","Wind, NE","0.01","One single ranged jump attack (3.36) capped at 99999, 100% hit rate, grants [100% Critical 3]/[Damage +50% 1] and [Quick Cast 1] to all allies/all FF3 allies","Y","Lowest HP% enemy","0","Dragoon","31542462"
"Zenith Mode: Exdeath (Dark/Holy)","Spirit Attack: Exdeath (Dark/Holy)","NAT","Single Enemy","Magical","2.96","Dark, Holy, NE","0.01","Two single attacks (1.48/1.58), grants [50% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","0","Darkness","31542413"
"Dual Awoken Darkwood Mode I (Exdeath)","
D Neo Blaster","NAT","Single Enemy","Magical","-","Dark, Holy, NE","0.01","Four single Dark/Holy/NE attacks (1.41/1.61/1.81/2.01/2.11 or 1.5/1.72/1.93/2.14/2.25) scaling with uses","Y","Lowest HP% enemy","0","Darkness","31542415"
"Zenith Mode: Krile (Fire/Earth)","Spirit Attack: Krile","NAT","Single Enemy","","","","0.01","Causes [DEF, RES and MND -50% (8s)] to the target, grants [Buff Fire 10% (5s)] and [Buff Earth 10% (5s)] to all allies","N","Lowest HP% enemy","0","Special","31542425"
"Chain Force Mode (Krile)","Guidance of Fire: Krile","NAT","All allies","","","","0.01","Grants [Quick Cast 1] to all allies","","All allies","0","Special","31542427"
"Zenith Mode: Squall (Fire)","Spirit Attack: Squall (Fire)","PHY","Single Enemy","Physical","4.80","Fire, NE","0.01","Six single attacks (0.80), 0.90 if exploiting Fire weakness, capped at 19999","Y","Lowest HP% enemy","0","Spellblade","31542429"
"Dual Awoken Wind Mode II (Luneth)","Dual Eternal Wind","PHY","Single enemy","Physical","2.64","Wind, NE","0.01","One single ranged attack (2.64) capped at 99999 if 4+ FF3 allies are alive, 100% hit rate, causes [Imperil Wind 30% (15s)] and [DEF, RES and MND -50% (8s)]/[Imperil Prismatic 30% (15s)] if 0-3/4+ FF3 allies are alive","N","Lowest HP% enemy","0","Dragoon","31542464"
"Tidal Flood Follow-Up","Tidal Flood","SUM","Single enemy","Magical","7.85","Water, NE","0.01","Five single attacks (1.57 each), minimum damage 1100","N","Lowest HP% enemy","0","Summoning","30543064"
"Chaotic Moon","Lurking Shadow","PHY","Single enemy","Physical","4.32","Water, Lightning, NE","1.65","1/1/2 single attacks (2.16 each) if the user has Physical Blink 0/1/2, 100% hit rate","Y","Lowest HP% enemy","0","Ninja","30511739"
"Old Man's Hammer Follow-Up","Old Man's Hammer","PHY","Single enemy","Physical","1.80","Lightning, NE","0.01","Four single attacks (0.45 each), 100% hit rate","Y","Lowest HP% enemy","0","Machinist","30549151"
