"Character","Source","Name","Synchro Ability Slot","Synchro Condition","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","Name (JP)","ID","Synchro Condition ID"
"Rydia","Eidolon Zantetsuken","Wrathful Roar","2","Earth","SUM","Single enemy","Magical","9.15","Earth, NE","1.65","Three single attacks (3.05 each), grants [Earth Ability +30% Boost 3] and smart ether 1 to the user","N","Lowest HP% enemy","90","Summoning","憤怒の咆哮","30543146","103"
"Rydia","Broken Heart","Eidolon King's Favor","1","Water","SUM","Single enemy","Magical","18.30","Water, NE","1.65","Six single attacks (3.05 each)","N","Lowest HP% enemy","90","Summoning","幻獣王の冥護","30543263","105"
"Rydia","Broken Heart","Eidolon King's Roar","2","Water","SUM","All enemies","Magical","12.20","Water, NE","1.65","Four group attacks (3.05 each), grants [50% Damage Reduction Barrier 4] to the user if user has Feymarch Form level 1, causes Feymarch Form -1 to the user","N","All enemies","90","Summoning","幻獣王の咆哮","30543264","105"
"Rydia","Holy Burst","Resolute Heart","1","Holy","SUM","Single enemy","Magical","18.30","Holy, NE","1.65","Six single attacks (3.05 each)","N","Lowest HP% enemy","90","Summoning","迷いなき心","31540961","106"
"Rydia","Holy Burst","Unsullied Might","2","Holy","NAT","Self","","","","0.01","Grants [Holy Ability +50% Boost 3]","N","Self","70","Summoning","汚れなき力","31540962","106"
"Rydia","Call Me Queen","Eidolon King's Bellow","1","Water","SUM","Single enemy","Magical","19.20","Water, NE","1.65","Six single attacks (2.90 each), 3.20 each if exploiting elemental weakness, grants [Water Ability +30% Boost 1] to the user","N","Lowest HP% enemy","90","Summoning","幻獣王の轟咆","31541427","105"
"Rydia","Call Me Queen","Eidolon King's Strike","2","Water","SUM","Single enemy","Magical","16.40","Water, NE","1.65","One single attack (16.40) capped at 99999, grants smart ether 2 and [Summoning Quick Cast 2] to the user","N","Lowest HP% enemy","90","Summoning","幻獣王の一撃","31541428","105"
"Cecil (Dark Knight)","Shadow Blazer","Shadow Smash","1","Darkness","PHY","Single enemy","Physical","5.40","Dark, NE","1.65","Six single attacks (0.90 each), grants [Darkness +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Darkness","シャドウスマッシュ","30549867","17"
"Cecil (Dark Knight)","Shadow Blazer","Shadow Drive","2","Darkness","PHY","Single enemy","Physical","2.70","Dark, NE","1.65","Three single attacks (0.90 each), sets the user's HP to 1, grants [Quick Cast 1] to the user","Y","Lowest HP% enemy","90","Darkness","シャドウチェイサー","30549868","17"
"Cecil (Dark Knight)","Tenebrous Blast","Evil Smash","1","Darkness","PHY","Single enemy","Physical","5.70","Dark, NE","1.65","Six single attacks (0.86/0.89/0.92/0.95 each) scaling with activations, damages the user for 25%/15%/5%/5% max HP scaling with activations","Y","Lowest HP% enemy","90","Darkness","イビルスマッシュ","31541037","17"
"Cecil (Dark Knight)","Tenebrous Blast","Evil Gate","2","Darkness","PHY","Single enemy","Physical","2.70","Dark, NE","1.65","Three single attacks (0.90 each), grants [Darkness +30% Boost 1] to the user if the user has Dark Side level 0, grants [ATK and DEF +30% (8s)] and [Darkness +30% Boost 3] to the user if the user has Dark Side level 1, causes Dark Side -1 to the user","Y","Lowest HP% enemy","90","Darkness","イビルゲート","31541038","17"
"Cecil (Paladin)","Shine Braver","Mighty Force","1","Holy","NAT","Single enemy","Hybrid","-","Holy, NE","1.65","Six single hybrid attacks (0.90 or 3.10 each), grants [Holy Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Knight","マイティフォース","30548540","106"
"Cecil (Paladin)","Shine Braver","Healing Force","2","Holy","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","90","White Magic","ヒールフォース","30542917","106"
"Cecil (Paladin)","Light of the Crystal","Saint Smash","1","Holy","NAT","Single enemy","Hybrid","-","Holy, NE","1.65","Six single hybrid attacks (0.90 or 3.10 each), restores 500 HP to the lowest HP% ally","Y","Lowest HP% enemy","90","Knight","セイントスマッシュ","31542444","106"
"Cecil (Paladin)","Light of the Crystal","Saint Gate","2","Holy","NAT","Single enemy","Hybrid","-","Holy, NE","1.65","Three single hybrid attacks (0.90 or 3.10 each), grants [ATK and MND +30%, DEF +25% (8s)] and [Holy Ability +30% Boost 3] to the user if the user has Paladin level 1, grants [Holy Ability +30% Boost 1] to the user if the user has Paladin level 0, causes Paladin -1 to the user","Y","Lowest HP% enemy","90","Knight"," セイントゲート","31542445","1023"
"Golbez","Dark Meteor","Void Whip","1","Dark","BLK","Single enemy","Magical","18.30","Dark, NE","1.65","Six single attacks (3.05 each), grants [Dark +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Darkness","ヴォイドウェイブ","30549864","107"
"Golbez","Dark Meteor","Void Hand","2","Dark","BLK","Single enemy","Magical","16.40","Dark, NE","1.65","One single attack (16.40) capped at 99999","Y","Lowest HP% enemy","90","Darkness","ダークメテオ","30549865","107"
"Golbez","Dark Glow","Daunting Darkness","1","Dark","BLK","Single enemy","Magical","18.30","Dark, NE","1.65","Six single attacks (3.05 each), causes [Imperil Dark 10% (5s)]","Y","Lowest HP% enemy","90","Darkness","漆黒の威圧","31541410","107"
"Golbez","Dark Glow","Everdark Invocation","2","Dark","NAT","Self","","","","0.01","Grants [Dualcast Dark 1] and [Dark Ability +50% Boost 1]","N","Self","70","Darkness","呪縛の常闇","31541411","107"
"Rosa","Theme of Love","Blessed Prayer","1","White Magic","WHT","All allies","","","","1.65","Restores HP (25)","N","All allies","100","White Magic","祝福のいのり","30542673","2"
"Rosa","Theme of Love","Wondrous Prayer","2","White Magic","NAT","All allies","","","","0.01","Grants [Magical Blink 1]","N","All allies","70","White Magic","奇跡のいのり","30542674","2"
"Rosa","White Angelus","Tender Blessing","1","White Magic","WHT","Single enemy","Magical","9.30","Holy, NE","1.65","Three single attacks (3.10 each), restores HP (17.50/20/25) to all allies if 0-1/2-3/4+ allies have any Attach Holy","Y","Lowest HP% enemy","70","White Magic","愛の祝福","31541377","2"
"Rosa","White Angelus","Tender Miracle (IV)","2","White Magic","WHT","Single ally","","","","0.01","Restores HP (85), grants [High Quick Cast 1]","N","Lowest HP% ally","70","White Magic","愛の奇跡【IV】","31541378","2"
"Edge","Eblan Harmony","Eblan Surge","1","Ninja","NAT","Single enemy","Hybrid","-","Water, Fire, Lightning, NE","0.83","Six single hybrid attacks (0.80 or 411.75 each)","Y","Lowest HP% enemy","70","Ninja","エブラーナ流・怒涛","30549327","13"
"Edge","Eblan Harmony","Eblan Struggle","2","Ninja","NAT","Single enemy","Hybrid","-","Water, Fire, Lightning, NE","0.83","Three single hybrid attacks (0.80 or 411.75 each), grants [Buff Water 10% (15s)], [Buff Fire 10% (15s)] and [Buff Lightning 10% (15s)] to the user","Y","Lowest HP% enemy","70","Ninja","エブラーナ流・奮闘","30549328","13"
"Barbariccia","Raging Wind","Violent Tornado","1","Wind","BLK","Single enemy","Magical","18.30","Wind, NE","1.65","Six single attacks (3.05 each)","Y","Lowest HP% enemy","90","Black Magic","ミールトルネード","31540090","104"
"Barbariccia","Raging Wind","Whirlwind Form","2","Black Magic","NAT","Self","","","","0.01","Grants [High Quick Cast 2] and [30% Damage Reduction Barrier 4]","N","Self","70","Black Magic","たつまき状態","31540091","1"
"Edward","Kings' Quad","Minstrel's Ballad","1","Bard","NAT","Single ally","","","","1.65","Restores HP (55), grants [Instant Cast 1], grants [200% ATB 1] if the user has Disguised level 1, causes Disguised -1 to the user","N","Lowest HP% ally","100","Bard","ミンストレルソング","31540508","14"
"Edward","Kings' Quad","Harp's Timbre","2","Bard","NAT","All allies","","","","1.65","Grants [20% Damage Reduction Barrier 1] and [HP Stock (1000)]","N","All allies","100","Bard","竪琴の音色","31540509","14"
"Porom","Sync Renew","Seal of Mysidia (IV)","1","White Magic","WHT","Single ally","","","","0.01","Restores HP (85), grants [HP Stock (3000)]","N","Lowest HP% ally","70","White Magic","ミシディアの聖印【IV】","31540511","2"
"Porom","Sync Renew","Mutated Cure","2","White Magic","WHT","All allies","","","","1.65","Restores HP (25) if the user has Precocious level 0, restores HP (85) and grants [Instant Cast 1] if the user has Precocious level 1, causes Precocious -1 to the user","N","All allies","100","White Magic","ミュテイトケアル","31540512","2"
"Porom","Twincast Curaga","Silvery Lightning","1","White Magic","WHT","Single enemy","Magical","9.30","Lightning, NE","1.65","Three single attacks (3.10 each), restores HP (17.5/20/25) if 0-2/3-4/4+ allies have any Attach Lightning","Y","Lowest HP% enemy","70","White Magic","白き雷","31541743","2"
"Porom","Twincast Curaga","Mysidian Heal","2","White Magic","WHT","Single ally","","","","0.01","Restores HP (85), grants [Quick Cast 1]","N","Lowest HP% ally","70","White Magic","ミシディアヒール","31541744","2"
"Ceodore","Advanced Blade","Holy Cross Slash","1","Holy","PHY","Single enemy","Physical","6.30","Holy, NE","1.65","5/7 single attacks (0.90 each) if the user hasn't/has any Magical Blink, grants [Holy Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Knight","ホーリークロスラッシュ","31540504","106"
"Ceodore","Advanced Blade","Awaken","2","Holy","NAT","Self","","","","0.01","Grants [Quick Cast 2] and [100% Critical 2] to the user","N","Self","70","Knight","かくせい","31540505","106"
"Tellah","Sage's Remembrance","Mortal Struggle","1","Earth","BLK","Single enemy","Magical","21.35","Earth","1.65","Seven single attacks (3.05 each), damages the user for 25%/15%/5% max HP scaling with activations","Y","Lowest HP% enemy","90","Black Magic","決死の禁術","31540709","103"
"Tellah","Sage's Remembrance","Wise Endeavor","2","Earth","NAT","Self","","","","0.01","Grants [Earth Ability +30% Boost 1] to the user if the user has Sage's Oath level 0, grants [Earth Ability +50% Boost 3] and [Damage Cap +10000 3] to the user if the user has Sage's Oath level 1, causes Sage's Oath -1 to the user","N","Self","70","Black Magic","賢者の尽力","31540710","103"
"Palom","Coordinated Twin Meteor","Ice Crush","1","Black Magic","BLK","Single enemy","Magical","28.20","Lightning, Fire, Ice, NE","1.65","Six single attacks (2.70 each) if the user has Twincast level 1, followed by one single attack (12.00) capped at 99999, causes Twincast -1 to the user","Y","Lowest HP% enemy","90","Black Magic","アイスクラッシュ","31540911","1"
"Palom","Coordinated Twin Meteor","A Little Black Magic","2","Black Magic","BLK","Single enemy","Magical","2.70","Lightning, Fire, Ice, NE","0.01","One single attack (2.70), grants [Quick Cast 3] to the user","Y","Lowest HP% enemy","60","Black Magic","実践！黒魔法","31540912","1"
"Rubicante","Flamespire Warrior","Scorch","1","Fire","BLK","Single enemy","Magical","18.30","Fire, NE","1.65","Six single attacks (3.05 each), causes [Imperil Fire 10% (5s)]","Y","Lowest HP% enemy","90","Black Magic","火燕流","31541005","100"
"Rubicante","Flamespire Warrior","Fire Wielding","2","Fire","NAT","Self","","","","0.01","Grants [Quick Cast 1] and [Dualcast Fire 1]","N","Self","70","Black Magic","炎の使い方","31541006","100"
"Fusoya","Lunar Lineage","Moonlight Gift","1","Holy","WHT","Single enemy","Magical","18.60","Holy, NE","1.65","Six single attacks (3.10 each), grants [Quick Cast 1] to the user, grants [Buff Holy 10% (15s)] to all allies every three activations","Y","Lowest HP% enemy","90","White Magic","月光の天恵","31541040","106"
"Fusoya","Lunar Lineage","Lucent Seal","2","Holy","WHT","Single enemy","Magical","9.30","Holy, NE","1.65","Three single attacks (3.10 each), grants [Holy Ability +30% Boost 3] to the user","Y","Lowest HP% enemy","90","White Magic","月光の聖印","31541041","106"
"Yang","Oboro Strike","Affectionate Nudge","1","Monk","PHY","Single enemy","Physical","5.40","Earth, NE","1.65","Six single attacks (0.90 each), 100% additional critical chance if user has Frying Pan > 0, causes Frying Pan -1 to the user","Y","Lowest HP% enemy","90","Monk","愛の拳","31541044","9"
"Yang","Oboro Strike","Awakening Love","2","Monk","NAT","Self","","","","0.01","Grants [Damage Cap +10000 2] and Frying Pan +2 (max 4)","N","Self","70","Combat","愛の目覚まし","31541045","9"
"Ursula","Twin Wing Frenzy","Love Palm","1","Monk","PHY","Single enemy","Physical","5.40","Earth, NE","1.65","Six single attacks (0.90 each), 100% additional critical chance if user has Ladle > 0, causes Ladel -1 to the user","Y","Lowest HP% enemy","90","Monk","愛の掌底","31541047","9"
"Ursula","Twin Wing Frenzy","Mother's Awakening","2","Monk","NAT","Self","","","","0.01","Grants [Earth Ability +30% Boost 2] and Ladle +2 (max 4)","N","Self","70","Combat","母の目覚まし","31541048","9"
"Cid (IV)","Rocket Launcher","Electric Tomahawk","1","Lightning","PHY","Single enemy","Physical","5.40","Lightning, NE","1.65","Six single ranged attacks (0.90 each), causes [Imperil Lightning 10% (5s)]","Y","Lowest HP% enemy","90","Machinist","エレキトマホーク","31541367","102"
"Cid (IV)","Rocket Launcher","Spark Break","2","Lightning","PHY","Single enemy","Physical","6.00","Lightning, NE","1.65","One single ranged attack (6.00) capped at 99999, grants [Lightning Ability +30% Boost 1]","Y","Lowest HP% enemy","90","Machinist","スパークブレイク","31541368","102"
"Exdeath","Space Disorder","Dark Nothingness","1","Dark","BLK","Single enemy","Magical","18.30","Dark, NE","1.65","Six single attacks (3.05 each), grants [Dark Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","Darkness","黒き虚無","30541677","107"
"Exdeath","Space Disorder","Pale Nothingness","2","Holy","WHT","Single enemy","Magical","18.60","Holy, NE","1.65","Six single attacks (3.10 each), grants [Holy Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","90","White Magic","白き虚無","30541678","106"
"Exdeath","Almagest","Beckoning Void","1","Dark","BLK","Single enemy","Magical","24.40","Dark, NE","1.65","3/8 single attacks (3.05 each) if the user has Wicked Thoughts level 0/1, grants [Quick Cast 1] to the user if the user has Wicked Thoughts level 0, causes Wicked Thoughts -1 to the user","Y","Lowest HP% enemy","90","Darkness","無への渇望","31540975","107"
"Exdeath","Almagest","Malicious Craving","2","Dark","BLK","Single enemy","Magical","-","Dark, NE","1.65","Three single attacks (3.05 each) if the user has Boundless Ambition level 0, one single attack (16.40) capped at 99999 if the user has Boundless Ambition level 1, grants [Quick Cast 1] to the user if the user has Boundless Ambition level 0","Y","Lowest HP% enemy","90","Black Magic","邪悪なる渇求","31540976","107"
"Bartz","Ethereal Bond","Transient Wind","1","Wind","PHY","Single enemy","Physical","5.70","Wind, NE","1.65","Six single attacks (0.85/0.90/0.95 each) scaling with activations","Y","Lowest HP% enemy","90","Spellblade","とどまらぬ風","30544402","104"
"Bartz","Ethereal Bond","Relentless Wind","2","Wind","PHY","Single enemy","Physical","0.90","Wind, NE","1.65","One single attack (0.90), grants [Quick Cast 2] and [Dualcast Spellblade 1] to the user","Y","Lowest HP% enemy","90","Combat","ふきやまぬ風","30544403","104"
"Bartz","Earthen Bond","Earthen Goblin Punch","1","Earth","PHY","Single enemy","Physical","5.70","Earth, NE","1.65","Six single attacks (0.85/0.90/0.95 each) scaling with activations","Y","Lowest HP% enemy","90","Spellblade","大地のゴブリンパンチ","31540393","103"
"Bartz","Earthen Bond","Sandstorm Shank","2","Earth","PHY","Single enemy","Physical","2.70","Earth, NE","1.65","Three single attacks (0.90 each), grants [100% Critical 1] and [Quick Cast 2] to the user if 1+ FF5 allies are alive, grants [Critical Damage +50% 1] to the user if 2+ FF5 allies are alive","Y","Lowest HP% enemy","90","Spellblade","砂塵の刃","31540394","103"
